player_name,year,hand,rel_height,rel_side,extension,total_pitches,haa_2-Seam/Sinker,haa_4-Seam,haa_Changeup,haa_Curveball,haa_Cutter,haa_Knuckleball,haa_Slider,haa_Splitter,haa_Sweeper,hb_2-Seam/Sinker,hb_4-Seam,hb_Changeup,hb_Curveball,hb_Cutter,hb_Knuckleball,hb_Slider,hb_Splitter,hb_Sweeper,ivb_2-Seam/Sinker,ivb_4-Seam,ivb_Changeup,ivb_Curveball,ivb_Cutter,ivb_Knuckleball,ivb_Slider,ivb_Splitter,ivb_Sweeper,n_2-Seam/Sinker,n_4-Seam,n_Changeup,n_Curveball,n_Cutter,n_Knuckleball,n_Slider,n_Splitter,n_Sweeper,pct_2-Seam/Sinker,pct_4-Seam,pct_Changeup,pct_Curveball,pct_Cutter,pct_Knuckleball,pct_Slider,pct_Splitter,pct_Sweeper,vaa_2-Seam/Sinker,vaa_4-Seam,vaa_Changeup,vaa_Curveball,vaa_Cutter,vaa_Knuckleball,vaa_Slider,vaa_Splitter,vaa_Sweeper,velo_2-Seam/Sinker,velo_4-Seam,velo_Changeup,velo_Curveball,velo_Cutter,velo_Knuckleball,velo_Slider,velo_Splitter,velo_Sweeper
"Biagini, Joe",2017,R,6.856,-1.725,5.835,1930,-0.369,-1.419,0.135,-2.97,-2.458,,,,,-13.048,-5.756,-16.072,6.775,-1.345,,,,,16.373,17.137,9.723,-15.566,10.229,,,,,932.0,119.0,278.0,415.0,185.0,,,,,0.483,0.062,0.144,0.215,0.096,,,,,6.259,5.6,8.077,11.135,7.235,,,,,93.809,93.339,86.305,78.814,90.002,,,,
"Bibens-Dirkx, Austin",2017,R,5.506,-2.769,5.757,1171,-1.629,-1.232,-0.732,-4.294,,,-3.116,,,-18.363,-13.693,-15.3,6.383,,,-0.578,,,9.375,16.323,7.075,-2.141,,,7.806,,,145.0,339.0,187.0,156.0,,,344.0,,,0.124,0.289,0.16,0.133,,,0.294,,,5.046,4.989,7.191,7.755,,,6.924,,,89.955,90.506,84.573,79.658,,,86.61,,
"Blach, Ty",2017,L,6.502,2.689,4.949,2512,1.361,1.853,0.629,3.152,,,3.638,,,-16.3,-9.448,-18.22,3.817,,,0.126,,,15.928,14.422,12.946,-6.999,,,1.281,,,1345.0,164.0,594.0,263.0,,,146.0,,,0.535,0.065,0.236,0.105,,,0.058,,,6.262,6.164,7.815,10.364,,,9.354,,,90.102,89.745,80.254,76.369,,,79.313,,
"Blackburn, Paul",2017,R,5.968,-2.368,5.971,935,-1.195,-2.691,-0.857,-4.408,-3.748,,-3.515,,,-10.755,-3.486,-12.442,13.808,7.108,,6.005,,,11.245,16.495,8.98,-13.594,2.905,,2.474,,,455.0,65.0,85.0,87.0,139.0,,104.0,,,0.487,0.07,0.091,0.093,0.149,,0.111,,,6.32,5.072,7.413,11.237,7.636,,7.692,,,90.172,90.38,83.387,75.814,85.374,,83.608,,
"Blanton, Joe",2017,R,5.868,-2.553,5.755,765,-1.725,-2.428,-1.069,-2.941,,,-3.877,,,-11.523,-4.83,-11.964,5.312,,,4.028,,,15.26,18.207,8.043,-6.298,,,7.724,,,79.0,216.0,118.0,91.0,,,261.0,,,0.103,0.282,0.154,0.119,,,0.341,,,5.143,4.722,7.345,9.145,,,7.22,,,90.37,90.248,85.35,79.382,,,86.066,,
"Blazek, Michael",2017,R,5.872,-1.926,6.182,147,,-0.934,,,,,,,,,-11.666,,,,,,,,,18.736,,,,,,,,,68.0,,,,,,,,,0.463,,,,,,,,,4.861,,,,,,,,,92.915,,,,,,,
"Bleier, Richard",2017,L,5.968,2.926,6.184,892,1.573,3.213,1.494,,3.982,,,,,-14.254,-7.279,-15.687,,1.387,,,,,4.502,11.392,5.969,,7.359,,,,,505.0,59.0,66.0,,231.0,,,,,0.566,0.066,0.074,,0.259,,,,,7.018,6.235,8.37,,6.877,,,,,89.027,89.036,81.683,,86.439,,,,
"Blevins, Jerry",2017,L,5.391,2.554,6.268,913,,1.925,,4.741,,,,,,,-8.545,,17.5,,,,,,,15.002,,-7.387,,,,,,,410.0,,458.0,,,,,,,0.449,,0.502,,,,,,,5.35,,10.257,,,,,,,88.898,,71.0,,,,,
"Bolsinger, Mike",2017,R,6.031,-0.976,6.245,755,,0.025,,-1.66,-0.841,,-3.016,,,,-10.847,,4.258,-0.488,,9.249,,,,12.576,,-11.03,16.275,,-0.888,,,,103.0,,250.0,263.0,,118.0,,,,0.136,,0.331,0.348,,0.156,,,,5.692,,9.442,5.531,,8.345,,,,89.988,,79.778,88.746,,80.9,,
"Bonilla, Lisalverto",2017,R,5.829,-2.11,6.228,652,-0.637,-1.529,-1.546,-2.836,,,,,,-14.018,-8.739,-8.57,2.318,,,,,,12.673,17.784,12.819,-4.516,,,,,,91.0,231.0,176.0,151.0,,,,,,0.14,0.356,0.271,0.233,,,,,,5.557,5.112,6.803,8.816,,,,,,91.602,92.265,84.361,79.614,,,,,
